conf_vector,conf_vector_length,conf_models_generation_length,conf_models_container_length,conf_permutations_include_zeros,callhome1_der,callhome2_der,callhome_der
xvectors,512,7,2,True,14.42,14.57,14.495000000000001
xvectors,512,8,2,True,12.22,11.87,12.045
xvectors,512,9,2,True,14.4,16.93,15.665
xvectors,512,10,2,True,11.35,10.41,10.879999999999999
xvectors,512,11,2,True,11.77,8.98,10.375
xvectors,512,12,2,True,10.1,10.56,10.33
xvectors,512,13,2,True,8.63,9.12,8.875
xvectors,512,14,2,True,9.38,10.99,10.185
xvectors,512,15,2,True,11.51,24.02,17.765
xvectors,512,16,2,True,8.55,8.26,8.405000000000001
xvectors,512,17,2,True,8.38,9.81,9.095
xvectors,512,18,2,True,8.24,12.23,10.235
xvectors,512,19,2,True,9.97,10.23,10.100000000000001
xvectors,512,20,2,True,8.59,14.27,11.43
ivectors,400,14,2,True,8.94,9.68,9.309999999999999
ivectors,400,15,2,True,9.32,11.88,10.600000000000001
ivectors,400,16,2,True,8.34,9.71,9.025
ivectors,400,17,2,True,7.94,9.98,8.96
ivectors,400,18,2,True,8.09,11.55,9.82
xvectors,512,15,2,True,14.97,10.87,12.92
xvectors,512,16,2,True,9.05,9.7,9.375
xvectors,512,15,2,True,10.11,10.36,10.235
xvectors,512,16,2,True,10.03,18.41,14.219999999999999
xvectors,512,17,2,True,7.62,24.02,15.82
xvectors,512,18,2,True,7.51,24.02,15.765
xvectors,512,19,2,True,7.2,7.57,7.385
xvectors,512,20,2,True,6.97,12.33,9.65
ivectors,400,15,2,True,8.33,10.04,9.184999999999999
ivectors,400,16,2,True,8.63,9.74,9.185
ivectors,400,17,2,True,7.92,9.66,8.79
ivectors,400,18,2,True,7.72,9.35,8.535
xvectors,512,20,2,True,6.97,12.33,9.65
ivectors,128,20,2,True,100.0,100.0,100.0
ivectors,128,20,2,True,5.42,13.34,9.379999999999999
xvectors,128,20,2,True,10.23,13.4,11.815000000000001
ivectors,128,20,2,True,5.42,13.34,9.379999999999999
ivectors,128,5,2,True,5.38,4.95,5.165
ivectors,128,10,2,True,3.79,13.71,8.75
ivectors,128,15,2,True,10.74,4.65,7.695
ivectors,128,20,2,True,5.42,13.34,9.379999999999999
xvectors,128,5,2,True,7.95,7.57,7.76
xvectors,128,10,2,True,4.94,13.84,9.39
xvectors,128,15,2,True,10.96,4.87,7.915000000000001
xvectors,128,20,2,True,10.23,13.4,11.815000000000001
ivectors,128,20,2,True,5.42,13.34,9.379999999999999
xvectors,128,20,2,True,10.23,13.4,11.815000000000001
ivectors,128,10,2,True,3.79,13.71,8.75
ivectors,128,10,2,True,3.79,13.71,8.75
