conf_vector,conf_vector_length,conf_models_generation_length,conf_models_container_length,conf_permutations_include_zeros,callhome1_der,callhome2_der,callhome_der
ivectors,128,1,2,True,10.47,13.5,11.985
ivectors,128,2,2,True,9.44,8.72,9.08
ivectors,128,3,2,True,6.95,7.48,7.215
ivectors,128,4,2,True,6.61,6.92,6.765000000000001
ivectors,128,5,2,True,6.28,6.27,6.275
ivectors,128,6,2,True,6.08,5.58,5.83
ivectors,128,7,2,True,7.33,6.63,6.98
ivectors,128,8,2,True,5.02,6.05,5.535
ivectors,128,9,2,True,7.63,5.64,6.635
ivectors,128,10,2,True,4.62,5.73,5.175000000000001
ivectors,128,11,2,True,6.36,5.81,6.085
ivectors,128,12,2,True,4.89,5.58,5.234999999999999
ivectors,128,13,2,True,4.57,5.39,4.98
ivectors,128,14,2,True,4.43,6.25,5.34
ivectors,128,15,2,True,4.7,4.85,4.775
ivectors,128,16,2,True,5.17,4.44,4.805
ivectors,128,17,2,True,5.64,4.74,5.1899999999999995
ivectors,128,18,2,True,5.35,4.5,4.925
ivectors,128,19,2,True,4.34,4.68,4.51
ivectors,128,20,2,True,4.32,4.76,4.54
xvectors,128,1,2,True,24.74,21.91,23.325
xvectors,128,2,2,True,16.06,16.93,16.494999999999997
xvectors,128,3,2,True,14.91,14.73,14.82
xvectors,128,4,2,True,14.29,21.04,17.665
xvectors,128,5,2,True,11.54,11.32,11.43
xvectors,128,6,2,True,9.98,10.05,10.015
xvectors,128,7,2,True,8.78,10.35,9.565
xvectors,128,8,2,True,9.72,8.88,9.3
xvectors,128,9,2,True,7.72,10.46,9.09
xvectors,128,10,2,True,8.29,9.32,8.805
xvectors,128,11,2,True,7.64,7.88,7.76
xvectors,128,12,2,True,7.09,6.82,6.955
xvectors,128,13,2,True,10.39,8.92,9.655000000000001
xvectors,128,14,2,True,6.78,7.09,6.9350000000000005
xvectors,128,15,2,True,6.61,6.73,6.67
xvectors,128,16,2,True,11.65,6.56,9.105
xvectors,128,17,2,True,5.82,6.4,6.11
xvectors,128,18,2,True,6.31,8.42,7.365
xvectors,128,19,2,True,26.12,11.39,18.755000000000003
xvectors,128,20,2,True,6.71,7.33,7.02
