dihard2019_ivectors_5_0, {"der": 8.49, "eer": 9.229, "dcf": 0.7302}, {"der": 19.65, "eer": 24.53, "dcf": 0.9952}, {"der": 14.07, "eer": 16.8795, "dcf": 0.8627}
dihard2019_ivectors_5_1, {"der": 7.39, "eer": 9.002, "dcf": 0.6516}, {"der": 18.89, "eer": 23.2, "dcf": 0.9764}, {"der": 13.14, "eer": 16.101, "dcf": 0.8140000000000001}
dihard2019_ivectors_5_2, {"der": 8.47, "eer": 9.862, "dcf": 0.7297}, {"der": 19.49, "eer": 24.43, "dcf": 0.9822}, {"der": 13.98, "eer": 17.146, "dcf": 0.85595}
dihard2019_ivectors_10_0, {"der": 8.44, "eer": 10.29, "dcf": 0.7608}, {"der": 17.78, "eer": 23.27, "dcf": 0.9832}, {"der": 13.11, "eer": 16.78, "dcf": 0.872}
dihard2019_ivectors_10_1, {"der": 7.89, "eer": 8.456, "dcf": 0.667}, {"der": 14.61, "eer": 16.38, "dcf": 0.904}, {"der": 11.25, "eer": 12.418, "dcf": 0.7855000000000001}
dihard2019_ivectors_10_2, {"der": 7.69, "eer": 8.266, "dcf": 0.7373}, {"der": 14.78, "eer": 16.57, "dcf": 0.9845}, {"der": 11.235, "eer": 12.418, "dcf": 0.8609}
dihard2019_ivectors_15_0, {"der": 7.86, "eer": 8.156, "dcf": 0.71}, {"der": 12.07, "eer": 13.6, "dcf": 0.8522}, {"der": 9.965, "eer": 10.878, "dcf": 0.7810999999999999}
dihard2019_ivectors_15_1, {"der": 7.4, "eer": 7.803, "dcf": 0.6824}, {"der": 13.74, "eer": 14.84, "dcf": 0.8729}, {"der": 10.57, "eer": 11.3215, "dcf": 0.77765}
dihard2019_ivectors_15_2, {"der": 7.75, "eer": 8.578, "dcf": 0.6832}, {"der": 12.64, "eer": 14.26, "dcf": 0.8798}, {"der": 10.195, "eer": 11.419, "dcf": 0.7815000000000001}
dihard2019_ivectors_20_0, {"der": 8.04, "eer": 9.065, "dcf": 0.6724}, {"der": 15.43, "eer": 19.23, "dcf": 0.9662}, {"der": 11.735, "eer": 14.1475, "dcf": 0.8192999999999999}
dihard2019_ivectors_20_1, {"der": 7.38, "eer": 8.359, "dcf": 0.68}, {"der": 11.74, "eer": 13.41, "dcf": 0.898}, {"der": 9.56, "eer": 10.8845, "dcf": 0.789}
dihard2019_ivectors_20_2, {"der": 7.94, "eer": 8.42, "dcf": 0.6489}, {"der": 12.41, "eer": 14.01, "dcf": 0.8647}, {"der": 10.175, "eer": 11.215, "dcf": 0.7568}
dihard2019_xvectors_5_0, {"der": 9.23, "eer": 12.01, "dcf": 0.8858}, {"der": 24.53, "eer": 34.36, "dcf": 1.0}, {"der": 16.880000000000003, "eer": 23.185, "dcf": 0.9429000000000001}
dihard2019_xvectors_5_1, {"der": 8.16, "eer": 10.42, "dcf": 0.8691}, {"der": 22.54, "eer": 33.56, "dcf": 0.9977}, {"der": 15.35, "eer": 21.990000000000002, "dcf": 0.9334}
dihard2019_xvectors_5_2, {"der": 10.14, "eer": 13.64, "dcf": 0.9472}, {"der": 22.44, "eer": 29.19, "dcf": 1.0}, {"der": 16.29, "eer": 21.415, "dcf": 0.9736}
dihard2019_xvectors_10_0, {"der": 9.44, "eer": 12.95, "dcf": 0.8565}, {"der": 17.49, "eer": 25.04, "dcf": 0.9994}, {"der": 13.465, "eer": 18.994999999999997, "dcf": 0.92795}
dihard2019_xvectors_10_1, {"der": 8.21, "eer": 11.51, "dcf": 0.8428}, {"der": 16.02, "eer": 18.88, "dcf": 0.9724}, {"der": 12.115, "eer": 15.195, "dcf": 0.9076}
dihard2019_xvectors_10_2, {"der": 9.19, "eer": 12.35, "dcf": 0.8583}, {"der": 17.58, "eer": 22.07, "dcf": 0.9976}, {"der": 13.384999999999998, "eer": 17.21, "dcf": 0.92795}
dihard2019_xvectors_15_0, {"der": 7.22, "eer": 8.662, "dcf": 0.8296}, {"der": 15.11, "eer": 17.46, "dcf": 0.9887}, {"der": 11.165, "eer": 13.061, "dcf": 0.90915}
dihard2019_xvectors_15_1, {"der": 8.53, "eer": 11.65, "dcf": 0.8767}, {"der": 17.27, "eer": 21.53, "dcf": 0.9647}, {"der": 12.899999999999999, "eer": 16.59, "dcf": 0.9207000000000001}
dihard2019_xvectors_15_2, {"der": 8.13, "eer": 11.49, "dcf": 0.8636}, {"der": 18.05, "eer": 24.54, "dcf": 0.9958}, {"der": 13.09, "eer": 18.015, "dcf": 0.9297}
dihard2019_xvectors_20_0, {"der": 7.23, "eer": 11.61, "dcf": 1.0}, {"der": 14.65, "eer": 20.7, "dcf": 0.9999}, {"der": 10.940000000000001, "eer": 16.155, "dcf": 0.99995}
dihard2019_xvectors_20_1, {"der": 7.88, "eer": 11.22, "dcf": 0.7708}, {"der": 12.27, "eer": 16.54, "dcf": 0.9884}, {"der": 10.075, "eer": 13.879999999999999, "dcf": 0.8795999999999999}
dihard2019_xvectors_20_2, {"der": 7.9, "eer": 11.31, "dcf": 0.8862}, {"der": 11.72, "eer": 14.97, "dcf": 0.9821}, {"der": 9.81, "eer": 13.14, "dcf": 0.93415}
