conf_vector,conf_vector_length,conf_models_generation_length,conf_models_container_length,conf_permutations_include_zeros,callhome1_der,callhome2_der,callhome_der
xvectors,512,1,2,True,27.54,26.71,27.125
xvectors,512,2,2,True,25.06,25.21,25.134999999999998
xvectors,512,3,2,True,26.18,20.86,23.52
xvectors,512,4,2,True,20.5,21.54,21.02
xvectors,512,5,2,True,20.11,18.75,19.43
xvectors,512,6,2,True,14.96,13.17,14.065000000000001
xvectors,512,7,2,True,14.42,14.57,14.495000000000001
xvectors,512,8,2,True,12.22,11.87,12.045
xvectors,512,9,2,True,14.4,16.93,15.665
xvectors,512,10,2,True,11.35,10.41,10.879999999999999
xvectors,512,11,2,True,11.77,8.98,10.375
xvectors,512,12,2,True,10.1,10.56,10.33
xvectors,512,13,2,True,8.63,9.12,8.875
xvectors,512,14,2,True,9.38,10.99,10.185
xvectors,512,15,2,True,14.97,10.87,12.92
xvectors,512,16,2,True,9.05,9.7,9.375
xvectors,512,15,2,True,10.11,10.36,10.235
xvectors,512,16,2,True,10.03,18.41,14.219999999999999
xvectors,512,17,2,True,7.62,24.02,15.82
xvectors,512,18,2,True,7.51,24.02,15.765
xvectors,512,19,2,True,7.2,7.57,7.385
xvectors,512,20,2,True,6.97,12.33,9.65
