conf_vector,conf_vector_length,conf_models_generation_length,conf_models_container_length,conf_permutations_include_zeros,callhome1_der,callhome2_der,callhome_der
ivectors,128,11,2,True,3.59,11.44,7.515
ivectors,128,12,2,True,3.74,4.02,3.88
ivectors,128,13,2,True,3.64,6.19,4.915
ivectors,128,14,2,True,3.33,4.46,3.895
ivectors,128,15,2,True,4.22,4.13,4.175
ivectors,128,16,2,True,3.98,4.17,4.075
ivectors,128,17,2,True,3.93,4.24,4.085
ivectors,128,18,2,True,5.39,4.52,4.955
ivectors,128,19,2,True,3.31,6.15,4.73
ivectors,128,20,2,True,3.75,4.38,4.0649999999999995
xvectors,128,11,2,True,7.39,5.12,6.255
xvectors,128,12,2,True,5.08,5.68,5.38
xvectors,128,13,2,True,4.9,12.71,8.805
xvectors,128,14,2,True,6.11,11.57,8.84
xvectors,128,15,2,True,5.94,5.28,5.61
xvectors,128,16,2,True,8.43,4.55,6.49
xvectors,128,17,2,True,4.91,4.63,4.77
xvectors,128,18,2,True,4.3,11.77,8.035
xvectors,128,19,2,True,4.33,10.77,7.55
xvectors,128,20,2,True,6.3,5.1,5.699999999999999
